Date & Time,Temperature,Date
02-09-1995 02:00 AM,34,02-09-1995
02-09-1995 03:00 AM,33,02-09-1995
02-09-1995 04:00 AM,31,02-09-1995
02-09-1995 05:00 AM,30,02-09-1995
02-09-1995 06:00 AM,30,02-09-1995
02-09-1995 07:00 AM,29,02-09-1995
02-09-1995 08:00 AM,31,02-09-1995
02-09-1995 09:00 AM,34,02-09-1995
01-08-1996 03:00 AM,34,01-08-1996
01-08-1996 04:00 AM,33,01-08-1996
01-08-1996 05:00 AM,33,01-08-1996
01-08-1996 06:00 AM,32,01-08-1996
01-08-1996 07:00 AM,32,01-08-1996
01-08-1996 08:00 AM,32,01-08-1996
01-08-1996 09:00 AM,34,01-08-1996
01-09-1996 01:00 AM,34,01-09-1996
01-09-1996 02:00 AM,33,01-09-1996
01-09-1996 03:00 AM,33,01-09-1996
01-09-1996 04:00 AM,30,01-09-1996
01-09-1996 05:00 AM,30,01-09-1996
01-09-1996 06:00 AM,29,01-09-1996
01-09-1996 07:00 AM,32,01-09-1996
01-09-1996 08:00 AM,34,01-09-1996
02-04-1996 11:00 PM,33,02-04-1996
02-05-1996 12:00 AM,32,02-05-1996
